step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2
45,[31.712286   58.754677    0.89870596],20.0000,6.0000,[46.923073  12.957733   0.5439177],20.0000,0.0000,[ 29.649208  -30.56046     2.8262076],20.0000,0.0000,[ 65.801285 -40.12555    6.143932],20.0000,4.0000,[65.78799    40.45767     0.12622064],20.0000,4.0000
46,[32.541477 59.489838  1.093262],20.0000,6.0000,[47.871815   13.49827     0.25106812],20.0000,6.0000,[ 28.620432 -30.194483   2.285186],20.0000,0.0000,[ 66.37812  -40.179535   6.145054],20.0000,4.0000,[66.36427    40.51368     0.12438279],20.0000,4.0000
47,[33.213432  60.37116    1.2697939],20.0000,6.0000,[48.920982   13.801287    0.33785087],20.0000,6.0000,[ 27.815693  -29.447523    1.7726483],20.0000,0.0000,[ 66.95478   -40.234608    6.1474137],20.0000,4.0000,[66.94051    40.56977     0.12274771],20.0000,4.0000
48,[33.71652   61.35792    1.4404941],20.0000,6.0000,[49.948494   14.169737    0.55638456],20.0000,6.0000,[ 27.365751 -28.425425   1.298092],20.0000,0.0000,[ 67.53132  -40.29014    6.150049],20.0000,3.0000,[67.516716   40.625946    0.12128814],20.0000,4.0000
49,[34.041313  62.41625    1.6122507],20.0000,0.0000,[50.899857   14.706901    0.81408346],20.0000,6.0000,[ 27.378824  -27.295643    0.9114281],20.0000,0.0000,[ 68.10816   -40.342934    6.0608263],20.0000,4.0000,[68.092896   40.68221     0.11997961],20.0000,5.0000
50,[34.161007  63.513702   1.2362441],20.0000,6.0000,[51.725586  15.428482   1.0769687],20.0000,0.0000,[ 27.819769  -26.256367    0.5979748],20.0000,0.0000,[ 68.68172  -40.43053    6.029681],20.0000,4.0000,[68.669395   40.73561     0.21055987],20.0000,4.0000
51,[34.562576  64.52973    1.2456533],20.0000,6.0000,[52.362232  16.325428   0.7723637],20.0000,6.0000,[ 28.571062   -25.420399     0.29663497],20.0000,0.0000,[ 69.253044  -40.53292     6.0219035],20.0000,4.0000,[69.2424     40.823643    0.24299733],20.0000,4.0000
52,[34.95852  65.548164  1.427855],20.0000,6.0000,[53.17658   17.053782   0.8176167],20.0000,6.0000,[ 29.539518  -24.854567    6.2596326],20.0000,6.0000,[ 69.82307   -40.641586    6.0235534],20.0000,4.0000,[69.81326   40.926125   0.2524627],20.0000,4.0000
53,[35.20334   66.61573    1.6684889],20.0000,0.0000,[53.965324  17.810555   1.0130923],20.0000,6.0000,[ 30.636452   -24.639063     0.19220425],20.0000,0.0000,[ 70.39237  -40.752697   6.028503],20.0000,4.0000,[70.38292    41.03479     0.25257313],20.0000,4.0000
54,[35.21527   67.713684   1.3637185],20.0000,6.0000,[54.627907  18.683758   1.2558872],20.0000,0.0000,[ 3.1682850e+01 -2.4301809e+01  1.8286817e-02],20.0000,6.0000,[ 70.96128   -40.86461     6.0341296],20.0000,4.0000,[70.951935   41.145985    0.24920574],20.0000,5.0000
