step,pos_red1,health_red1,action_red1,pos_red2,health_red2,action_red2,pos_red3,health_red3,action_red3,pos_red4,health_red4,action_red4,pos_red5,health_red5,action_red5,pos_blue1,health_blue1,action_blue1,pos_blue2,health_blue2,action_blue2,pos_blue3,health_blue3,action_blue3
44,[46.95664    6.832523   6.2075887],20.0000,6.0000,[47.57025   19.518023   6.2627482],20.0000,6.0000,[ 46.699192   -11.557293     0.07246447],20.0000,6.0000,[47.463196   42.00478     0.05397196],20.0000,0.0000,[ 4.5522427e+01 -2.6464958e+01  2.4054335e-02],20.0000,6.0000,[191.24925  -50.48219    5.287119],20.0000,4.0000,[ 1.22170265e+02 -2.28889389e+01  1.22084305e-01],20.0000,4.0000,[122.01427     -3.7623231    0.25711235],20.0000,4.0000
45,[48.04692     6.774475    0.14864002],20.0000,0.0000,[48.661438   19.488842    0.19461037],20.0000,0.0000,[ 47.786674   -11.46167      0.15504092],20.0000,6.0000,[48.553898 42.04999   6.04773 ],20.0000,6.0000,[ 46.61257    -26.393314     0.11361609],20.0000,6.0000,[191.56387  -50.967957   5.287119],20.0000,4.0000,[122.742325   -22.798998     0.12448766],20.0000,4.0000,[122.56906     -3.5963871    0.25947824],20.0000,4.0000
46,[49.128464   6.9225893  6.142399 ],20.0000,6.0000,[49.74031  19.65972   6.183276],20.0000,6.0000,[ 48.866196  -11.299895    0.3700905],20.0000,0.0000,[49.625927  41.839516   6.1372952],20.0000,6.0000,[ 47.695107   -26.252201     0.33536035],20.0000,0.0000,[191.87848  -51.453724   5.287119],20.0000,4.0000,[123.31434    -22.70911      0.12658286],20.0000,4.0000,[123.12382    -3.430509    0.2615395],20.0000,4.0000
47,[50.21559   6.814394  6.231965],20.0000,0.0000,[50.82864  19.572992  6.267358],20.0000,6.0000,[ 49.898666   -10.943286     0.07557219],20.0000,6.0000,[50.708427   41.698135    0.07585885],20.0000,0.0000,[ 4.8732262e+01 -2.5911354e+01  4.4362873e-02],20.0000,6.0000,[192.1931   -51.939487   5.287119],20.0000,4.0000,[123.88632    -22.619291     0.12842342],20.0000,4.0000,[123.67856    -3.264704    0.2633505],20.0000,4.0000
48,[51.30752    6.793785   5.9031625],20.0000,6.0000,[51.920025   19.553728    0.20033301],20.0000,0.0000,[ 50.985424   -10.838672     0.15965559],20.0000,0.0000,[51.798317  41.761448   6.0680494],20.0000,6.0000,[ 49.820942   -25.822496     0.13287666],20.0000,0.0000,[192.5077   -52.425255   5.287119],20.0000,4.0000,[124.45829    -22.529552     0.13005187],20.0000,4.0000,[124.23329     -3.0989814    0.26495358],20.0000,4.0000
49,[52.358753  6.482901  5.987499],20.0000,6.0000,[52.99702   19.73513    6.1895275],20.0000,6.0000,[ 52.060574 -10.64949    6.108451],20.0000,6.0000,[52.873352  41.56799    6.1565657],20.0000,0.0000,[ 50.898735  -25.646904    6.0859394],20.0000,6.0000,[192.82233  -52.911022   5.287119],20.0000,4.0000,[125.03024    -22.439901     0.13150197],20.0000,4.0000,[124.788025   -2.9333472   0.266382 ],20.0000,4.0000
50,[53.42139    6.225415   6.2245293],20.0000,0.0000,[54.08622   19.65892    6.2746177],20.0000,0.0000,[ 53.150257 -10.755681   6.189061],20.0000,6.0000,[53.960114  41.461155   5.8264456],20.0000,6.0000,[ 51.98831   -25.764784    6.1693425],20.0000,6.0000,[193.13693  -53.39679    5.287119],20.0000,4.0000,[125.60218    -22.350342     0.13280079],20.0000,4.0000,[125.34276     -2.7678053    0.26766226],20.0000,4.0000
51,[54.512047   6.1780987  5.9469104],20.0000,6.0000,[55.177895 19.668606  5.941033],20.0000,6.0000,[ 54.241844   -10.806749     0.13532884],20.0000,0.0000,[54.98297   41.067654   5.9098506],20.0000,6.0000,[ 53.07974    -25.828094     0.12150836],20.0000,0.0000,[193.45154  -53.882553   5.287119],20.0000,4.0000,[126.17412    -22.260874     0.13397013],20.0000,4.0000,[125.89751     -2.6023567    0.26881555],20.0000,4.0000
52,[55.565998   5.8852453  6.0415144],20.0000,6.0000,[56.235577 19.384924  6.022129],20.0000,6.0000,[ 55.322212 -10.650642   6.135703],20.0000,6.0000,[56.02161  40.726418  6.145205],20.0000,0.0000,[ 54.161392 -25.680637   6.125967],20.0000,6.0000,[193.76616  -54.36832    5.287119],20.0000,4.0000,[126.746056   -22.171501     0.13502775],20.0000,4.0000,[126.45226     -2.4370017    0.26985928],20.0000,4.0000
53,[56.634933   5.6609406  6.2715387],20.0000,0.0000,[57.304028  19.155155   6.2527394],20.0000,0.0000,[ 56.411507 -10.746486   6.228385],20.0000,6.0000,[57.10489  40.591404  5.866481],20.0000,6.0000,[ 55.250484 -25.782158   6.22016 ],20.0000,6.0000,[194.08076  -54.854088   5.287119],20.0000,4.0000,[127.31799    -22.082224     0.13598834],20.0000,4.0000,[127.00703    -2.2717392   0.2708077],20.0000,4.0000
54,[57.726376   5.6452355  5.985962 ],20.0000,6.0000,[58.39539   19.132273   5.9707546],20.0000,6.0000,[ 57.503258   -10.772794     0.17279898],20.0000,0.0000,[58.13147   40.21384    5.9606743],20.0000,6.0000,[ 56.342216   -25.813723     0.16653396],20.0000,0.0000,[194.39539  -55.339855   5.287119],20.0000,4.0000,[127.88993    -21.993038     0.13686405],20.0000,4.0000,[127.56181    -2.1065683   0.2716728],20.0000,4.0000
55,[58.786034   5.3776727  6.0773787],20.0000,6.0000,[59.454517 18.859964  6.063739],20.0000,6.0000,[ 58.57965   -10.591392    6.1689086],20.0000,6.0000,[59.17856   39.903214   6.1902347],20.0000,0.0000,[ 57.41926  -25.636293   6.163865],20.0000,6.0000,[194.70999  -55.82562    5.287119],20.0000,4.0000,[128.46187    -21.903942     0.13766512],20.0000,4.0000,[128.11661     -1.9414867    0.27246445],20.0000,4.0000
56,[5.9859627e+01 5.1789360e+00 1.8585127e-02],20.0000,0.0000,[6.052738e+01 1.865593e+01 8.581719e-03],20.0000,0.0000,[ 59.669975  -10.664521    6.2597156],20.0000,6.0000,[60.265068  39.79835    5.9043813],20.0000,6.0000,[ 58.509483 -25.71258    6.255176],20.0000,6.0000,[195.02461  -56.311386   5.287119],20.0000,4.0000,[129.03381    -21.814936     0.13840017],20.0000,4.0000,[128.67143     -1.7764922    0.27319115],20.0000,4.0000
